Symbol	Name	Currency	Exchange	Instrument.Long.Name	Isin	Segment.code	Sector.code
LHEA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG HEATING OIL	JE00B2NFTM03	ETCS	ECLL
LLHO	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG LEAN HOGS	JE00B2NFTN10	ETCS	ECLL
LLCT	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG LIVE CATTLE	JE00B2NFTP34	ETCS	ECLL
LNGA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG NATURAL GAS	JE00B2NFTQ41	ETCS	ECLL
LNIK	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG NICKEL	JE00B2NFTR57	ETCS	ECLL
LSIL	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG SILVER	JE00B2NFTS64	ETCS	ECLL
LSYO	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG SOYBEAN OIL	JE00B2NFTT71	ETCS	ECLL
LSOB	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG SOYBEANS	JE00B2NFTV93	ETCS	ECLL
LSUG	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG SUGAR	JE00B2NFTW01	ETCS	ECLL
LWEA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG WHEAT	JE00B2NFTX18	ETCS	ECLL
LZIC	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG ZINC	JE00B2NFTY25	ETCS	ECLL
LLEA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG LEAD	JE00B2NFTZ32	ETCS	ECLL
LPLA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG PLATINUM	JE00B2NFV134	ETCS	ECLL
LTIM	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG TIN	JE00B2NFV241	ETCS	ECLL
LCOC	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG COCOA	JE00B2NFV803	ETCS	ECLL
SLEA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 1X DAILY SHORT LEAD	JE00B2NFT088	ETCS	ECLL
SPLA	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 1X DAILY SHORT PLATINUM	JE00B2NFT195	ETCS	ECLL
STIM	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 1X DAILY SHORT TIN	JE00B2NFT203	ETCS	ECLL
SCOC	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 1X DAILY SHORT COCOA	JE00B2NFT310	ETCS	ECLL
LCOP	ETFS COMMODITY SECURITIES LIMITED	USD	LSE	ETFS 2X DAILY LONG COPPER	JE00B2NFTF36	ETCS	ECLL
SUD5	ETFS FOREIGN EXCHANGE LD	USD	LSE	ETFS 5X LONG EUR SHORT USD	JE00BMM1WG41	ETCS	ECLL
EUP5	ETFS FOREIGN EXCHANGE LD	GBX	LSE	ETFS 5X LONG EUR SHORT GBP	JE00BMM1XM75	ETCS	ECLL
SUP5	ETFS FOREIGN EXCHANGE LD	GBX	LSE	ETFS 5X SHORT EUR LONG GBP	JE00BMM1XN82	ETCS	ECLL
USP5	ETFS FOREIGN EXCHANGE LD	GBX	LSE	ETFS 5X LONG USD SHORT GBP	JE00BMM1XY97	ETCS	ECLL
HDLG	POWERSHARES GLBAL FUNDS IRELAND PLC	GBX	LSE	PS HIGH DIVIDND LOW VOLATILITY UCITS ETF	IE00BWTN6Y99	ETF2	EFEL
SBUY	POWERSHARES GLBAL FUNDS IRELAND PLC	GBX	LSE	PS GLOBAL BUYBACK ACHIEVERS UCITS ETF	IE00BLSNMW37	ETF2	EFEL
DXGZ	WISDOMTREE ISSUER PLC 	GBX	LSE	WISDOMTREE GERMANY EQUITY UCITS ETF	IE00BYQCZC44	ETF2	EFEL
HEDG	WISDOMTREE ISSUER PLC 	GBX	LSE	WISDOMTREE EUROPE EQUITY UCITS ETF	IE00BYQCZX56	ETF2	EFEL
DXJG	WISDOMTREE ISSUER PLC 	GBX	LSE	WISDOMTREE JAPAN EQUITY UCITS ETF	IE00BYQCZN58	ETF2	EFEL
SPVG	POWERSHARES GLBAL FUNDS IRELAND PLC	GBX	LSE	PS S&P 500 VEQTOR UCITS ETF	IE00BX8ZXS68	ETF2	EFEL
EUHD	POWERSHARES GLBAL FUNDS IRELAND PLC	GBX	LSE	EURO STOXX HIGH DIV LW VLTY UCITS GBP	IE00BZ4BMM98	ETF2	EFEL
ROBG	GO UCITS ETF SOLUTIONS PLC	GBX	LSE	ROBO GLOBAL ROB&AUTO GO UCITS ETF (GBP)	IE00BMW3QX54	ETF2	EFLN
HYLD	ISHARES PLC	USD	LSE	ISHARES GLOBAL HY CORP BOND UCITS ETF	IE00B74DQ490	ETF2	EFLN
IRCP	ISHARES V PLC	EUR	LSE	ISHARES EURO CORP BND IRH UCITS ETF	IE00B6X2VY59	ETF2	EFLN
CORP	ISHARES PLC	USD	LSE	ISHARES GLOBAL CORPORATE BOND UCITS ETF	IE00B7J7TB45	ETF2	EFLN
IBC1	ISHARES PLC	EUR	LSE	EURO INFLATION LKD GVT BD EUR UCITS	IE00B0M62X26	ETF2	EFLN
CCAU	ISHARES VII PLC	USD	LSE	MSCI CANADA CAD (USD)	IE00B52SF786	ETF2	EFLN
IDFF	ISHARES PLC	USD	LSE	ISHARES MSCI AC FET EX-JPN UCITS ETF	IE00B0M63730	ETF2	EFLN
LKUW	MULTI UNITS FRANCE	GBX	LSE	LYXOR ETF KUWAIT FTSE COAST KUWAIT 40 £	FR0010614834	ETF2	EFLN
IDAP	ISHARES PLC	USD	LSE	ISHARES ASIA PACIFIC DIVIDEND UCITS ETF	IE00B14X4T88	ETF2	EFLN
IAAA	ISHARES VI PLC	USD	LSE	ISHARES GLOBAL AAA-AA GOV BND UCITS ETF	IE00B87G8S03	ETF2	EFLN
HWWA	HSBC ETFS PLC	GBP	LSE	HSBC WORLDWIDE EQUITY UCITS ETF £	IE00BKZGB098	ETF2	EFLN
CASE	GO UCITS ETF SOLUTIONS PLC	GBX	LSE	ETFS-E FUND MSCI CHINA A	IE00BHBFDF83	ETF2	EFLN
MLPX	GO UCITS ETF SOLUTIONS PLC	GBX	LSE	ETFS US ENERGY INFRASTRUCTURE MLP	IE00BHZKHS06	ETF2	EFLN
HEWA	HSBC ETFS PLC	GBP	LSE	HSBC ESI WORLDWIDE EQUITY UCITS ETF £	IE00BKZG9Y92	ETF2	EFLN
IEGS	ISHARES PLC	EUR	LSE	ISHARES EURO GOVERNMENT BOND 1-3YR UCITS	IE00B14X4Q57	ETF2	EFLN
CJPU	ISHARES VII PLC	USD	LSE	MSCI JAPAN JPY (USD)	IE00B53QDK08	ETF2	EFLN
HMAD	HSBC ETFS PLC	USD	LSE	HSBC MSCI AC FAR EAST EXJAPAN UCITSETF $	IE00BBQ2W338	ETF2	EFLN
IDEM	ISHARES PLC	USD	LSE	ISHARES MSCI EM UCITS ETF (DIST)	IE00B0M63177	ETF2	EFLN
IDKO	ISHARES PLC	USD	LSE	ISHARES MSCI KOREA UCITS ETF (DIST)	IE00B0M63391	ETF2	EFLN
IDBZ	ISHARES PLC	USD	LSE	ISHARES MSCI BRAZIL UCITS ETF (DIST)	IE00B0M63516	ETF2	EFLN
IDTW	ISHARES PLC	USD	LSE	ISHARES MSCI TAIWAN UCITS ETF	IE00B0M63623	ETF2	EFLN
IDAR	ISHARES II PLC	USD	LSE	ISHARES ASIA PROPERTY YIELD UCITS ETF	IE00B1FZS244	ETF2	EFLN
DLTM	ISHARES II PLC	USD	LSE	ISHARES MSCI EM LAT AM UCITS ETF (DIST)	IE00B27YCK28	ETF2	EFLN
ISDE	ISHARES II PLC	USD	LSE	ISHARES MSCI EM ISLAMIC UCITS ETF	IE00B27YCP72	ETF2	EFLN
IDFE	ISHARES II PLC	USD	LSE	ISHARES MSCI AC FE EX-JPN SC UCITS ETF	IE00B2QWDR12	ETF2	EFLN
ISPY	GO UCITS ETF SOLUTIONS PLC	GBX	LSE	ETFS ISE CYBER SECURITY GO UCITS ETF	IE00BYPLS672	ETF2	EFLN
SUAG	ISHARES II PLC	GBP	LSE	ISHARES US AGGREGATE BOND UCITS ETF	IE00B44CGS96	ETF2	EFLN
SEMA	ISHARES III PLC	GBX	LSE	ISHARES MSCI EM UCITS ETF (ACC)	IE00B4L5YC18	ETF2	EFLN
SHYU	ISHARES II PLC	GBP	LSE	ISHARES $ HIGH YIELD CORP BND UCITS ETF	IE00B4PY7Y77	ETF2	EFLN
SEML	ISHARES III PLC	GBP	LSE	ISHARES EM LOCAL GOV BND UCITS ETF	IE00B5M4WH52	ETF2	EFLN
SEDY	ISHARES V PLC	GBX	LSE	ISHARES EM DIVIDEND UCITS ETF	IE00B652H904	ETF2	EFLN
SGEA	ISHARES III PLC	GBP	LSE	ISHARES EM ASIA LOCAL GOV BND UCITS ETF	IE00B6QGFW01	ETF2	EFLN
EMCP	ISHARES V PLC	GBP	LSE	ISHARES $ EMS CORP BND UCITS ETF	IE00B6TLBW47	ETF2	EFLN
IECF	ISHARES VI PLC	GBP	LSE	ISHARES EURO CORP BND FIN UCITS ETF	IE00B87RLX93	ETF2	EFLN
LQDG	ISHARES PLC	GBP	LSE	ISHARES $ CORP BND INTEREST RATE HDG	IE00BCLWRB83	ETF2	EFLN
EIMI	ISHARES PLC	USD	LSE	ISHARES CORE EM IMI UCITS ETF	IE00BKM4GZ66	ETF2	EFLN
CEMG	ISHARES V PLC	USD	LSE	ISHARES MSCI EM CONSUMER GROWTH ETF	IE00BKM4H197	ETF2	EFLN
IBGY	ISHARES III PLC	GBP	LSE	ISHARES EURO GOV BND 5-7YR UCITS ETF	IE00B4WXJG34	ETF2	EFL
IBGZ	ISHARES III PLC	GBP	LSE	ISHARES EURO GOV BND 10-15YR UCITS ETF	IE00B4WXJH41	ETF2	EFL
XMED	DB X-TRACKERS	USD	LSE	DBX MSCI EUROPE INDEX UCITS ETF (DR)	LU0274209237	ETF2	EFL
SAUS	ISHARES III PLC	GBX	LSE	ISHARES MSCI AUSTRALIA UCITS ETF	IE00B5377D42	ETF2	EFL
XMES	DB X-TRACKERS	USD	LSE	DBX MSCI MEXICO IDX UCITS ETF $ (DR)	LU0476289466	ETF2	EFL
LDIV	MULTI UNITS FRANCE	GBX	LSE	LYXOR ETF EUROSTOXX50 DIVIDENDS £	FR0010869529	ETF2	EFL
IDNA	ISHARES PLC	USD	LSE	ISHARES MSCI NORTH AMERICA UCITS ETF	IE00B14X4M10	ETF2	EFL
IDBT	ISHARES PLC	USD	LSE	ISHARES $ TREASURY BOND 1-3YR UCITS ETF	IE00B14X4S71	ETF2	EFL
IEGX	ISHARES II PLC	EUR	LSE	ISHARES EURO GOV BND 3-5YR UCITS ETF	IE00B1FZS681	ETF2	EFL
IDTM	ISHARES II PLC	USD	LSE	ISHARES $ TREASURY BOND 7-10YR UCITS ETF	IE00B1FZS798	ETF2	EFL
IEGM	ISHARES II PLC	EUR	LSE	ISHARES EURO GOV BND 7-10YR UCITS ETF	IE00B1FZS806	ETF2	EFL
IEGL	ISHARES II PLC	EUR	LSE	ISHARES EURO GOV BND 15-30YR UCITS ETF	IE00B1FZS913	ETF2	EFL
IDTP	ISHARES II PLC	USD	LSE	ISHARES $ TIPS UCITS ETF	IE00B1FZSC47	ETF2	EFL
IDUP	ISHARES II PLC	USD	LSE	ISHARES US PROPERTY YIELD UCITS ETF	IE00B1FZSF77	ETF2	EFL
SEGA	ISHARES III PLC	GBP	LSE	ISHARES CORE EURO GOV BOND UCITS ETF	IE00B4WXJJ64	ETF2	EFL
DNRG	ISHARES II PLC	USD	LSE	ISHARES GLOBAL CLEAN ENERGY UCITS ETF	IE00B1XNHC34	ETF2	EFL
DWOD	ISHARES II PLC	USD	LSE	ISHARES GLOBAL TIMBER & FOREST UCITS ETF	IE00B27YCF74	ETF2	EFL
ISDW	ISHARES II PLC	USD	LSE	ISHARES MSCI WORLD ISLAMIC UCITS ETF	IE00B27YCN58	ETF2	EFL
ISDU	ISHARES II PLC	USD	LSE	ISHARES MSCI USA ISLAMIC UCITS ETF	IE00B296QM64	ETF2	EFL
IESG	ISHARES II PLC	GBX	LSE	ISHARES DJ EUROPE SUST SCREEN UCITS ETF	IE00B52VJ196	ETF2	EFL
IGSG	ISHARES II PLC	GBX	LSE	ISHARES DJ GLOBAL SUST SCREEN UCITS ETF	IE00B57X3V84	ETF2	EFL
SGLO	ISHARES III PLC	GBP	LSE	ISHARES GLOBAL GOVERNMENT BOND UCITS ETF	IE00B3F81K65	ETF2	EFL
IBGE	ISHARES III PLC	GBP	LSE	ISHARES EURO GOV BND 0-1YR UCITS ETF	IE00B3FH7618	ETF2	EFL
SMEA	ISHARES III PLC	GBX	LSE	ISHARES MSCI EUROPE UCITS ETF (ACC)	IE00B4K48X80	ETF2	EFL
XMBD	DB X-TRACKERS	USD	LSE	DBX MSCI BRAZIL IDX UCITS ETF (DR)	LU0292109344	ETF2	EFL
XKSD	DB X-TRACKERS	USD	LSE	DBX MSCI KOREA IDX UCITS (DR) ETF	LU0292100046	ETF2	EFL
LCAN	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF CANADA S&P TSX 60 CLASS B £	LU0496786814	ETF2	EFL
DISG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD CONS.DISCRETION.TR£	LU0533032180	ETF2	EFL
STAG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD CONS. STAPLES TR £	LU0533032347	ETF2	EFL
FING	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD FINANCIALS TR £	LU0533033071	ETF2	EFL
HLTG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD HEALTH CARE TR £	LU0533033311	ETF2	EFL
HMED	HSBC ETFS PLC	USD	LSE	HSBC MSCI MEXICO CAPPED UCITS ETF $	IE00B3QMYK80	ETF2	EFL
HTWD	HSBC ETFS PLC	USD	LSE	HSBC MSCI TAIWAN UCITS ETF $	IE00B3S1J086	ETF2	EFL
HMYD	HSBC ETFS PLC	USD	LSE	HSBC MSCI MALAYSIA UCITS ETF $	IE00B3X3R831	ETF2	EFL
HKOD	HSBC ETFS PLC	USD	LSE	HSBC MSCI KOREA UCITS ETF $	IE00B3Z0X395	ETF2	EFL
HMCD	HSBC ETFS PLC	USD	LSE	HSBC MSCI CHINA UCITS ETF	IE00B44T3H88	ETF2	EFL
HIDD	HSBC ETFS PLC	USD	LSE	HSBC MSCI INDONESIA UCITS ETF $	IE00B46G8275	ETF2	EFL
HMLD	HSBC ETFS PLC	USD	LSE	HSBC MSCI EM LATIN AMERICA UCITS ETF $	IE00B4TS3815	ETF2	EFL
IDP6	ISHARES III PLC	USD	LSE	ISHARES S&P SMALL CAP 600 UCITS ETF	IE00B2QWCY14	ETF2	EFL
NRGG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD ENERGY TR £	LU0533032776	ETF2	EFL
IJPU	ISHARES PLC	USD	LSE	ISHARES MSCI JAPAN UCITS ETF (DIST)	IE00B02KXH56	ETF2	EFL
INUG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD INDUSTRIALS TR £	LU0533033584	ETF2	EFL
TNOG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD INFO TECH TR £	LU0533033741	ETF2	EFL
MATG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD MATERIALS TR £	LU0533034046	ETF2	EFL
TELG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD TELECOM SRVCS TR £	LU0533034392	ETF2	EFL
UTIG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF MSCI WORLD UTILITIES TR £	LU0533034632	ETF2	EFL
HMWD	HSBC ETFS PLC	USD	LSE	HSBC MSCI WORLD UCITS ETF $	IE00B4X9L533	ETF2	EFL
HCAD	HSBC ETFS PLC	USD	LSE	HSBC MSCI CANADA UCITS ETF $	IE00B51B7Z02	ETF2	EFL
HZAD	HSBC ETFS PLC	USD	LSE	HSBC MSCI SOUTH AFRICA UCITS ETF $	IE00B57S5Q22	ETF2	EFL
HTRD	HSBC ETFS PLC	USD	LSE	HSBC MSCI TURKEY UCITS ETF $	IE00B5BRQB73	ETF2	EFL
HPRD	HSBC ETFS PLC	USD	LSE	HSBC FTSE EPRA/NAREIT DEV. UCITS ETF $	IE00B5L01S80	ETF2	EFL
HRUD	HSBC ETFS PLC	USD	LSE	HSBC MSCI RUSSIA CAPPED UCITS ETF $	IE00B5LJZQ16	ETF2	EFL
HMFD	HSBC ETFS PLC	USD	LSE	HSBC MSCI EM FAR EAST UCITS ETF $	IE00B5LP3W10	ETF2	EFL
HMXD	HSBC ETFS PLC	USD	LSE	HSBC MSCI PACIFIC EX JAPAN UCITS ETF	IE00B5SG8Z57	ETF2	EFL
HMEM	HSBC ETFS PLC	USD	LSE	HSBC MSCI EMERGING MARKETS UCITS ETF $	IE00B5SSQT16	ETF2	EFL
HMJD	HSBC ETFS PLC	USD	LSE	HSBC MSCI JAPAN UCITS ETF $	IE00B5VX7566	ETF2	EFL
HBRL	HSBC ETFS PLC	GBX	LSE	HSBC MSCI BRAZIL UCITS ETF $	IE00B5W34K94	ETF2	EFL
HMUD	HSBC ETFS PLC	USD	LSE	HSBC MSCI USA UCITS ETF $	IE00B5WFQ436	ETF2	EFL
HSBR	HSBC ETFS PLC	USD	LSE	HSBC S&P BRIC 40 UCITS ETF $	IE00B5YLK706	ETF2	EFL
IDUS	ISHARES PLC	USD	LSE	ISHARES S&P 500 UCITS ETF (DIST)	IE0031442068	ETF2	EFL
HSPD	HSBC ETFS PLC	USD	LSE	HSBC S&P 500 UCITS ETF $	IE00B5KQNG97	ETF2	EFL
LSPX	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR ETF S&P 500 CLASS B £	LU0496786657	ETF2	EFL
XPXD	DB X-TRACKERS	USD	LSE	DBX MSCI PACIFIC EX JAP IDX UCT ETF(DR)$	LU0322252338	ETF2	EFL
XMJD	DB X-TRACKERS	USD	LSE	DBX MSCI JAPAN IDX UCITS ETF (DR)	LU0274209740	ETF2	EFL
XMTD	DB X-TRACKERS	USD	LSE	DBX MSCI TAIWAN IDX UCITS ETF (DR)	LU0292109187	ETF2	EFL
XX2D	DB X-TRACKERS	USD	LSE	DB X-TRACKERS FTSE CHINA50 UCITS ETF $DR	LU0292109856	ETF2	EFL
XGID	DB X-TRACKERS	USD	LSE	DBX S&P GBL INFRASTRUCTURE ETF $	LU0322253229	ETF2	EFL
XAXD	DB X-TRACKERS	USD	LSE	DBX MSCI AC ASIA EX JAPAN ETF $	LU0322252171	ETF2	EFL
XSPD	DB X-TRACKERS	USD	LSE	DBX S&P 500 INVERSE DAILY ETF	LU0322251520	ETF2	EFL
XMLD	DB X-TRACKERS	USD	LSE	DBX MSCI EM LATAM ETF	LU0292108619	ETF2	EFL
XMAD	DB X-TRACKERS	USD	LSE	DBX MSCI EMERGING MARKET ASIA ETF	LU0292107991	ETF2	EFL
XCS6	DB X-TRACKERS	USD	LSE	DBX MSCI CHINA IDX UCITS ETF DR $	LU0514695690	ETF2	EFL
XMMD	DB X-TRACKERS	USD	LSE	DBX MSCI EMERGING MARKET ETF	LU0292107645	ETF2	EFL
XESG	DB X-TRACKERS	GBX	LSE	DBX MSCI EMERGING MKT SHORT DAILY ETF	LU0518622286	ETF2	EFL
XCS5	DB X-TRACKERS	USD	LSE	DBX MSCI INDIA ETF$	LU0514695187	ETF2	EFL
XSPU	DB X-TRACKERS	USD	LSE	DBX S&P 500 ETF $	LU0490618542	ETF2	EFL
XGDD	DB X-TRACKERS	USD	LSE	DBX STOXX GLOBAL SELECT DIV 100 ETF $	LU0292096186	ETF2	EFL
PSWU	POWERSHARES GLBAL FUNDS IRELAND PLC	USD	LSE	POWERSHARES DYNAMIC US MARKET UCITS ETF	IE00B23D9240	ETF2	EFL
EQQU	POWERSHARES GLBAL FUNDS IRELAND PLC	USD	LSE	POWERSHARES EQQQ NASDAQ-100 UCITS ETF	IE0032077012	ETF2	EFL
PRUS	POWERSHARES GLBAL FUNDS IRELAND PLC	USD	LSE	POWERSHARES FTSE RAFI US 1000 UCITS ETF	IE00B23D8S39	ETF2	EFL
XMUD	DB X-TRACKERS	USD	LSE	DBX MSCI USA ETF	LU0274210672	ETF2	EFL
XNID	DB X-TRACKERS	USD	LSE	DBX NIFTY 50 UCITS ETF	LU0292109690	ETF2	EFL
SGIL	ISHARES III PLC	GBP	LSE	ISHARES GLOBAL INF LNK GOV BND UCITS ETF	IE00B3B8PX14	ETF2	EFL
SCOV	ISHARES III PLC	GBP	LSE	ISHARES EURO COVERED BOND UCITS ETF	IE00B3B8Q275	ETF2	EFL
SRSA	ISHARES III PLC	GBX	LSE	ISHARES MSCI SOUTH AFRICA UCITS ETF	IE00B52XQP83	ETF2	EFL
SHYG	ISHARES PLC	GBP	LSE	ISHARES EURO HIGH YLD CORP BND UCITS ETF	IE00B66F4759	ETF2	EFL
PAXG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR MSCI PACIFIC EX JAPAN UCITS ETF	LU1220245556	ETF2	EFEU
MVEX	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR FTSE EU MINIMUM VARIANCE UCITS ETF	LU1237527160	ETF2	EFEU
MVMX	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR FTSE EM MINIMUM VARIANCE UCITS ETF	LU1237527673	ETF2	EFEU
USIX	LYXOR INDEX FUND	GBX	LSE	LYXOR USD LIQUID IG CORPO BONDS ETF	LU1285959703	ETF2	EFEU
DEMP	WISDOMTREE ISSUER PLC 	GBX	LSE	WSDMTREE EMRGNG ASIA EQTY INC UCITS ETF	IE00BYPGT035	ETF2	EFEU
UC03	UBS (IRL) ETF PLC	USD	LSE	UBS ETF - MSCI USA A-DIS	IE00B77D4428	ETF2	EFEU
UC12	UBS (IRL) ETF PLC	USD	LSE	UBS ETF - S&P 500 A-DIS	IE00B7K93397	ETF2	EFEU
WOSC	SSGA SPDR ETFS EUROPE II PLC	GBP	LSE	SPDR MSCI WORLD SMALL CAP UCITS ETF	IE00BCBJG560	ETF2	EFEU
MEUU	LYXOR INTERNATIONAL ASSET MANAGEMNT	USD	LSE	LYXOR MSCI EUROPE USD	FR0010261198	ETF2	EFEU
VWRD	VANGUARD FUNDS PLC	USD	LSE	VANGUARD FTSE ALL-WORLD UCITS ETF	IE00B3RBWM25	ETF2	EFEU
VUSD	VANGUARD FUNDS PLC	USD	LSE	VANGUARD S&P 500 UCITS ETF	IE00B3XXRP09	ETF2	EFEU
SSHY	PIMCO FIXED INCOME SOURCE ETFS PLC	GBP	LSE	PIMCO SHT TERM HI YLD CORP BOND SRSOURCE	IE00B7N3YW49	ETF2	EFEU
DHSD	WISDOMTREE ISSUER PLC 	USD	LSE	WT US EQTY INCOME UCITS	IE00BQZJBQ63	ETF2	EFEU
DESD	WISDOMTREE ISSUER PLC 	USD	LSE	WT US SMALLCAP DIV UCITS	IE00BQZJBT94	ETF2	EFEU
EEIE	WISDOMTREE ISSUER PLC 	EUR	LSE	WT EUROPE EQTY INCOME UCITS	IE00BQZJBX31	ETF2	EFEU
DFEE	WISDOMTREE ISSUER PLC 	EUR	LSE	WT EUROPE SMALLCAP DIV UCITS	IE00BQZJC527	ETF2	EFEU
ISQE	WISDOMTREE ISSUER PLC 	EUR	LSE	WISDOMTREE ISEQ 20 UCITS ETF EUR	IE00BVFB1H83	ETF2	EFEU
EMIN	SSGA SPDR ETFS EUROPE I PLC	GBP	LSE	SPDR EM INFLATION LINKED BOND UCITS ETF	IE00B7MXFZ59	ETF2	EFEU
GBDV	SSGA SPDR ETFS EUROPE I PLC	GBP	LSE	SPDR S&P GLOBAL DIVIDEND UCITS ETF	IE00B9CQXS71	ETF2	EFEU
PADV	SSGA SPDR ETFS EUROPE I PLC	GBP	LSE	SPDR S&P PAN ASIA DIVIDEND UCITS ETF	IE00B9KNR336	ETF2	EFEU
VDJP	VANGUARD FUNDS PLC	USD	LSE	VANGUARD FTSE JAPAN UCITS ETF	IE00B95PGT31	ETF2	EFEU
VDPX	VANGUARD FUNDS PLC	USD	LSE	VANGUARD FTSE DEV ASIAPAC XJPN UCITS ETF	IE00B9F5YL18	ETF2	EFEU
VHYD	VANGUARD FUNDS PLC	USD	LSE	VANGUARD FTSE WRLD HI DIV YLD UCITS ETF	IE00B8GKDB10	ETF2	EFEU
EMBL	LYXOR INDEX FUND	GBX	LSE	LYXOR EMERGING MARKETS LOCAL CY BOND DR£	LU0908501991	ETF2	EFEU
LMMV	OSSIAM LUX	GBX	LSE	OSSIAM EMG MKTS MIN VAR NR ETF-USD (GBP)	LU0705291812	ETF2	EFEU
LWMV	OSSIAM LUX	GBX	LSE	OSSIAM WORLD MIN VAR NR ETFÀUSD (GBP)	LU0799656342	ETF2	EFEU
DSUG	MULTI UNITS FRANCE	GBX	LSE	LYXOR DOUBLE SHORT 10Y US TREASURY GBP	FR0011607084	ETF2	EFEU
LOWE	SSGA SPDR ETFS EUROPE II PLC	GBP	LSE	SPDR EURO STOXX LOW VOLATILITY UCITS ETF	IE00BFTWP510	ETF2	EFEU
FINL	LYXOR INTERNATIONAL ASSET MANAGEMNT	GBX	LSE	LYXOR UCITS ETF SP 500 CAP FIN SECT C£	FR0011192731	ETF2	EFEU
RSGL	LYXOR INTERNATIONAL ASSET MANAGEMNT	GBX	LSE	LYXOR UCITS ETF RUSSELL 1000 GROWTH	FR0011119171	ETF2	EFEU
RSVL	LYXOR INTERNATIONAL ASSET MANAGEMNT	GBX	LSE	LYXOR UCITS ETF RUSSELL 1000 VALUE	FR0011119205	ETF2	EFEU
S400	SOURCE MARKETS PLC	GBX	LSE	SOURCE JPX-NIKKEI 400 UCITS ETF	IE00BPRCH686	ETF2	EFEU
XWLD	CONCEPT FUND SOLUTIONS PLC	GBX	LSE	DBXT MSCI WORLD (DR) ACC 1C	IE00BJ0KDQ92	ETF2	EFEU
XDWE	CONCEPT FUND SOLUTIONS PLC	GBX	LSE	DBXT S&P 500 EQUAL WEIGHT DR ACC 1C	IE00BLNMYC90	ETF2	EFEU
CU2	AMUNDI ETF	GBX	LSE	AMUNDI ETF MSCI USA UCITS ETF - A	FR0010688275	ETF2	EFEU
R2SC	SSGA SPDR ETFS EUROPE II PLC	GBP	LSE	SPDR RUSSELL 2000 US SMALL CAP ETF	IE00BJ38QD84	ETF2	EFEU
R3TM	SSGA SPDR ETFS EUROPE II PLC	GBP	LSE	SPDR RUSSELL 3000 US TOTAL MARKET ETF	IE00BKY7WX37	ETF2	EFEU
XD9U	CONCEPT FUND SOLUTIONS PLC	USD	LSE	DBXT MSCI USA DR ACC 1C	IE00BJ0KDR00	ETF2	EFEU
FEDG	MULTI UNITS LUXEMBOURG	GBX	LSE	LYXOR FED FUNDS US DOLLAR CASH UCITS ETF	LU1233598447	ETF2	EFEU
MXFP	SOURCE MARKETS PLC	GBX	LSE	SOURCE MSCI EMERGING MARKETS UCITS ETF	IE00B3DWVS88	ETF2	EFEU
LWCG	AMUNDI ETF	GBX	LSE	LOW CARBON UCITS	FR0012658003	ETF2	EFEU
