SPY120616P00115000_20120125	VXX140118P00010000_20120327	VXX120721P00017000_20120607	VXX120818P00011000_20120717	VXX121020P00009000_20120906	VXX130316P00027000_20121231	VXX130316P00030000_20121231	VXX150117P00010000_20130419	VXX131116C00015000_20130916	SVXY140322C00055000_20140203	TLT150117P00100000_20140227	TLT150117P00105000_20140227	SPY160115C00190000_20141015	GLD160115P00100000_20150120	GLD160115P00120000_20150120	IEF160318P00102000_20150811	IEF160318P00106000_20150811	VXX151120P00017000_20150825	VXX151120P00023000_20150825
2011-11-21	7.71354205666883	0.679117328541402	0.4989935952885	0.12583517231161	0.0155801767738406	2.20789311835829	2.80948227085344	0.0327149622598587	175.293076288576	0.818225899365076	7.29558869294852	9.45387384095129	1.39877699043828	4.49662009964561	8.02496459418017	9.17965397218229	12.3249878140146	0.0962677275821427	0.934099666756453
2011-11-22	7.87159243400172	0.703818430269457	0.530202526616833	0.134298115797829	0.0171496354030238	2.2678043752301	2.88323087468016	0.0346991771807062	170.816764899536	0.857307069756699	6.92110376997514	9.00366733022054	1.35914929660975	4.31737743336808	7.71632538448312	9.01461145215957	12.1394638070401	0.100553855737657	0.959752394721449
2011-11-23	8.92518415872634	0.651806243579858	0.458710760719479	0.114348492054923	0.013656513394654	2.12559416261178	2.70919883753315	0.0305709987900498	179.528827792168	0.763547370407933	6.6021349923048	8.61861665775258	1.15777310814374	4.3586850045802	7.78970504183776	8.83346164151101	11.9353126752748	0.0915086183153002	0.90481080454607
2011-11-24	8.90201864326237	0.650088581133768	0.454351805012365	0.112967548686956	0.0134581942049193	2.11605812626565	2.6978280254959	0.0304360744831504	179.528377947036	0.76170043837096	6.59532536200246	8.61098238239414	1.15636760995765	4.35442178884931	7.78407299152065	8.82924448568866	11.9307317881395	0.0911922586523907	0.902770353514843
2011-11-25	8.97306441643193	0.635369654503125	0.433541569684594	0.107131421787607	0.0125094626560337	2.07215680598109	2.64421166730486	0.0293089684170547	181.926748485175	0.735199162757989	7.0568638173696	9.1692023647022	1.13997035317875	4.48680687966458	8.01513191583679	9.1503541235497	12.2925468717866	0.0886539259501309	0.886877851072186
2011-11-28	7.53120507014722	0.683461842949597	0.489186386576498	0.121675566758746	0.0151323938453328	2.18374211406748	2.78230872700106	0.0330357423956976	172.413232808055	0.813017689324182	7.05161384955401	9.16477440764331	1.39294813549875	4.16724401022212	7.4658469873981	9.13117407769772	12.2714837898536	0.0968312011470955	0.936845148667521
2011-11-29	7.37627895391806	0.703962593617042	0.514670027636222	0.12844293774286	0.0163924856102119	2.23238289889232	2.84231099698336	0.0346752283386424	168.659107043644	0.849112545319715	7.30605691847713	9.47130480207058	1.42306340170284	4.13216818105032	7.40640312203075	9.2001849237387	12.3483227543872	0.100326816748715	0.957583946081146
2011-11-30	5.67633303275523	0.812952149875054	0.667189923815683	0.170883778675808	0.0247108653435505	2.50729272041072	3.17885555477433	0.0440342126618463	152.396853400209	1.04777372145752	7.84033640201303	10.1116927079752	1.87879944559899	3.84322701131033	6.90354737459098	9.50315669412062	12.6878432768654	0.119852751165901	1.06984501848345
2011-12-01	5.65982059961029	0.841532850503026	0.707598051474069	0.182139411325904	0.0271359871481161	2.57421329113387	3.26082994577322	0.0466472798866754	148.441572769109	1.09708046649467	8.10026157594044	10.4221933104331	1.87484945780383	3.88150401800487	6.97217503340563	9.61782704787699	12.816099314501	0.125105737819203	1.09874990097286
2011-12-02	5.67098985355412	0.840561910560489	0.703304873316547	0.180602521400105	0.0268762602755257	2.56607005444899	3.25130424670776	0.0465513761347129	148.32081892335	1.1064405477395	7.60286085751829	9.82916565354676	1.86127378836024	3.86218156649298	6.94000967470537	9.37980728478765	12.5502922053683	0.124892676768446	1.09750044086804
