EUO	CROC	SJP3.L	SDS	SPY	TNA	TZA	GLD	AGQ	SLV	ZSL	SVXY	TVIX	UVXY	VXX	XIV	XLB	ERX	ERY	XLE	FAS	FAZ	XLF	XLI	XLK	XLP	XLU	XLV	XLY	UWTI
1986-07-22	NA	284.031057812214	2454.91396305267	89413.5499426297	12.9071559086961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-23	NA	292.639102272323	2485.23996466797	89143.8507465541	12.9346899135524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-24	NA	304.035576546717	2452.84577716375	89594.7976327357	12.896828439772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-25	NA	314.684391175937	2495.67906490957	87932.2610463993	13.0205825034871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-28	NA	306.605967486432	2421.55373783316	90827.9745515775	12.7940627059807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-29	NA	308.557379052962	2408.96145311618	91886.8384472614	12.716171457447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-30	NA	308.424614186237	2432.1738335058	90366.8900821548	12.8275097473622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-07-31	NA	321.235005591319	2311.0247631149	90789.5396420719	12.8031408940079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-01	NA	312.638905211932	2311.0247631149	91782.9867875899	12.7387505360791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-04	NA	316.078899948358	2317.19040820387	90925.9523194675	12.7981978667004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-05	NA	303.329653013189	2358.64514206495	90211.9203829864	12.8554906084451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-06	NA	299.921824329174	2330.61982820836	90454.7558115589	12.846261104609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-07	NA	312.087651066231	2307.55409780615	90244.2075331361	12.858126890881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-08	NA	311.893712726698	2346.20641166153	90208.2644239227	12.8505188951117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-11	NA	313.693574053317	2330.37985455072	87174.00689003	13.0571590755931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-12	NA	312.346555278737	2357.91263304627	85360.2496172044	13.2021436460554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-13	NA	308.016747753971	2343.47861259041	83688.4040515527	13.3292916909879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-14	NA	302.025359427239	2316.71321812939	83393.6526010137	13.3617624246572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-15	NA	302.654878364007	2336.09490941319	82760.6436477219	13.4115550468418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-18	NA	302.009075258701	2334.93002379089	82676.3636018939	13.4250953785395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-19	NA	299.622144112772	2312.75938254017	83342.421300442	13.379102039445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-20	NA	311.789266301943	2306.46766669289	81118.225975859	13.5566507576744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-21	NA	312.460030868443	2300.29612830546	81243.7657562221	13.5523424292618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-22	NA	316.493817088092	2315.22922466205	80879.6766715102	13.5815971773908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-25	NA	316.444543506367	2332.03878474092	82211.1155238253	13.4538522334158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-26	NA	316.218208014162	2370.27961229405	78742.9665508276	13.727299128247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-27	NA	315.724562755384	2357.70694080761	78500.8219149701	13.7533252532076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-28	NA	317.10296303409	2412.16839508954	78742.379627976	13.7295366626541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-08-29	NA	316.649598444922	2347.51796480521	78614.8399007803	13.7355294982284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-02	NA	316.790125320425	2327.44758342065	81267.5115577245	13.4978038861407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-03	NA	311.756053080083	2371.05021170821	80320.8416251168	13.5834042431822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-04	NA	309.867417579734	2358.48441548664	77955.9264530903	13.7876501851057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-05	NA	310.578218201613	2490.29154624167	79761.0684188493	13.6067538164295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-08	NA	311.534295018846	2523.17978431961	81291.8309544815	13.4816255170366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-09	NA	313.802252984627	2503.2822672442	81584.2125603337	13.4572572760822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-10	NA	319.505396126525	2468.2460753557	81925.4519144572	13.4252983032274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-11	NA	310.936354967529	2540.40766353534	89743.8600733675	12.7825636331851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-12	NA	309.616533872136	2493.73784320313	93270.8828618422	12.5391347730206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-15	NA	304.104341456842	2508.122390809	92157.6152255064	12.6090079745562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-16	NA	306.894627150969	2552.02321848485	92371.7526104355	12.5981077024301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-17	NA	309.208782162244	2480.64791714143	92487.4591763168	12.5969654685985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-18	NA	306.526353019661	2426.30570780575	91914.6856576927	12.6321545697593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-19	NA	303.049379752081	2344.25713345571	91902.7204325329	12.6277609548186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-22	NA	301.481921892306	2411.78170005007	89835.9160066823	12.7763085946691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-23	NA	299.904859300871	2430.99381718482	89302.276882155	12.817485473518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-24	NA	301.888345900436	2427.12276948947	88847.4800669183	12.8516172473927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-25	NA	305.201813797192	2424.24992377982	92273.6361006386	12.6112723481301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-26	NA	304.074783525921	2410.34904093243	92040.9968134484	12.6340011559037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-29	NA	305.509315330879	2340.35429478427	93846.5347591858	12.5091547092981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-09-30	NA	305.170402080102	2395.45741767214	92740.8229681449	12.5866847006209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-01	NA	303.10437392098	2379.81960736188	90891.7749151473	12.7114376744125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-02	NA	304.167994649385	2373.84338369199	90586.3317254247	12.7298397257808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-03	NA	301.412323896111	2355.15670355394	90820.5636530126	12.7194796614246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-06	NA	300.751168626689	2350.55845136797	90142.7336242313	12.7785937332952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-07	NA	302.654160057702	2325.31234237827	90247.9289945047	12.7595508092647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-08	NA	301.138319187926	2337.16361809167	88513.167070694	12.8838209047855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-09	NA	300.259262853127	2376.55389820068	89248.3073331793	12.8398105763365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-10	NA	298.804041538731	2346.03329452713	89496.6067607339	12.82076798017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-13	NA	NA	NA	89194.0265766371	12.8451613657267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-14	NA	295.8028657258	2326.52235398095	89674.171252906	12.8168843972894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-15	NA	291.623503307643	2334.32046599133	87023.7493809114	13.0042052827387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-16	NA	292.681490435504	2334.32046599133	86645.3239214883	13.0449115063968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-17	NA	293.425447752778	2331.3240160836	87057.0640216302	13.008497738539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-20	NA	293.469853481023	2353.72723134058	89166.0436036963	12.8536620349602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986-10-21	NA	296.341758058714	2377.68060162538	89073.8752856821	12.8498202190489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
