Index	Symbol	Name
^GSPC	EW	Edwards Lifesciences
^GSPC	EA	Electronic Arts
^GSPC	EMR	Emerson Electric Company
^GSPC	ENDP	Endo International
^GSPC	ETR	Entergy Corp.
^GSPC	EVHC	Envision Healthcare Corp
^GSPC	EOG	EOG Resources
^GSPC	EQT	EQT Corporation
^GSPC	EFX	Equifax Inc.
^GSPC	EQIX	Equinix
^GSPC	EQR	Equity Residential
^GSPC	ESS	Essex Property Trust, Inc.
^GSPC	EL	Estee Lauder Cos.
^GSPC	ES	Eversource Energy
^GSPC	EXC	Exelon Corp.
^GSPC	EXPE	Expedia Inc.
^GSPC	EXPD	Expeditors Int'l
^GSPC	ESRX	Express Scripts
^GSPC	EXR	Extra Space Storage
^GSPC	XOM	Exxon Mobil Corp.
^GSPC	FFIV	F5 Networks
^GSPC	FB	Facebook
^GSPC	FAST	Fastenal Co
^GSPC	FRT	Federal Realty Investment Trust
^GSPC	FDX	FedEx Corporation
^GSPC	FIS	Fidelity National Information Services
^GSPC	FITB	Fifth Third Bancorp
^GSPC	FSLR	First Solar Inc
^GSPC	FE	FirstEnergy Corp
^GSPC	FISV	Fiserv Inc
^GSPC	FLIR	FLIR Systems
^GSPC	FLS	Flowserve Corporation
^GSPC	FLR	Fluor Corp.
^GSPC	FMC	FMC Corporation
^GSPC	FTI	FMC Technologies Inc.
^GSPC	FL	Foot Locker Inc
^GSPC	F	Ford Motor
^GSPC	FTV	Fortive Corp
^GSPC	FBHS	Fortune Brands Home & Security
^GSPC	BEN	Franklin Resources
^GSPC	FCX	Freeport-McMoRan Inc.
^GSPC	FTR	Frontier Communications
^GSPC	GPS	Gap (The)
^GSPC	GRMN	Garmin Ltd.
^GSPC	GD	General Dynamics
^GSPC	GE	General Electric
^GSPC	GGP	General Growth Properties Inc.
^GSPC	GIS	General Mills
^GSPC	GM	General Motors
^GSPC	GPC	Genuine Parts
^GSPC	GILD	Gilead Sciences
^GSPC	GPN	Global Payments Inc
^GSPC	GS	Goldman Sachs Group
