AssetClass ExcessReturn
USBonds 0.07
IntlBonds 0.50
USLargeGrowth 6.50
USLargeValue 4.32
USSmallGrowth 7.59
USSmallValue 3.94
IntlDevEquity 4.93
IntlEmergEquity 6.84
