Symbol	Description
NWF	New Zealand Windfarms
NZ50	NZSX 50 Index
NZF	New Zealand Finance Holdings Ordinary
NZF020	NZF 15/03/2016 6.00% NZF Group Limited
NZO	New Zealand Oil & Gas
NZP010	NZP 30/11/39 7.50% - New Zealand Post Group Finance
NZR	NZ Refining
NZTS	NZX SciTech Index
NZX	New Zealand Exchange
OCFHA	OCF 00.00% Perpetual Preference
OGC	OceanaGold Corporation
OIC	Opus International Consultants
OMG	Orion Minerals Group
OZY	SmartOZZY
PBG	Pacific Brands
PCT	Precinct Properties New Zealand Limited Ordinary Shares
PEB	Pacific Edge Biotechnology
PFI	Property For Industry
PGC	Pyne Gould Corporation
PGW	PGG Wrightson
PIL	Promisia Integrative Limited
PLE	Pulse Energy Limited
POT	Port of Tauranga
PPG	Postie Plus Group
PPL	Pumpkin Patch
PPP	Pan Pacific Petroleum NL
PWC060	PWC 22/06/2015  . % - Powerco
PWC090	PWC 28/09/2017 6.65% - Powerco
QHLHA	Quayside Holdings Perpetual Preference
RAK	Rakon
RBC	Rubicon
RBD	Restaurant Brands NZ
RBOHA	RBO 00/00/00 00.00% - Rabobank Capital Securities
RCSHA	Rabo Capital Securities Ltd 8.7864% PIE Capital Securities
RIS	RIS Group
RYM	Ryman Healthcare
SAN	Sanford
SCI	NZSX SCI Index
SCL	Southern Capital
SCT	Scott Technology
SCY	Smiths City Group
SDL	Solution Dynamics
SEA	SeaDragon Limited Ordinary Shares
SEK	Seeka Kiwifruit Industries
SEMC	NZSX MidCap Index
SGL	Speirs Group
SKC	Sky City
SKC030	SKC 15/05/15 7.25% - Sky City
SKL	Skellerup Holdings
SKO	Serko Limited Ordinary Shares
SKT	Sky Network Television
SKTFA	SKT 16/10/16 8.0% Sky Television Network
SLG	Sealegs Corporation
SLI	SLI Systems Limited Ordinary Shares
SML	Synlait Milk Ltd
SNK	Snakk Media Limited Ordinary Shares
SPK	Spark New Zealand Limited Ordinary Shares
SPN	Southport New Zealand
SPY	Smartpay
STU	Steel & Tube Holdings
SUM	Summerset Group Holdings Limited Ordinary Shares
T10	NZSX 10 Index
TCL	The City of London Investment Trust
TEM	Templeton Emerging Markets Investment Trust Units
TEN	Tenon
THL	Tourism Holdings
TIL	Trilogy International Limited Ordinary Shares
TLS	Telstra
