Symbol	Description
3LLS	N708100s 150701
3UIS	Nx09100w 190601
3UJS	Ny09100h 240901
40A	Ips Securex Holdings Limited
40B	Smj International Holdingsltd.
40CW	Klw Holdings Ltd W170630
40D	Starburst Holdings Limited
40E	Spackman Entertainment Grp Ltd
40F	Alliance Mineral Assetslimited
40I	Terratech Group Limited
40N	Versalink Holdings Limited
40OR	Jubilee Industries Hldgs R
40R	Serrano Limited
40T	Isec Healthcare Ltd.
40V	Singapore Edevelopment Ltd
500	Tai Sin Electric Limited
502	Hsr Global Limited
504	Klw Holdings Ltd
505	Asiamedic Limited
508	Fuji Offset Plates Mfg Ltd
510	Hiap Seng Engineering Ltd
519	Top Global Limited
526	Hg Metal Manufacturing Ltd
528	Second Chance Properties Ltd
530	China Titanium Ltd.
532	Equation Corp Limited
533	Abr Holdings Limited
535	Vibropower Corporation Limited
539	Cph Ltd
540	Tung Lok Restaurants 2000 Ltd
541	Craft Print International Ltd
542	Giken Sakata (s) Limited
543	Noel Gifts International Ltd
544	Cse Global Ltd
545	Vallianz Holdings Limited
546	Medtecs International Corp Ltd
547	Nobel Design Holdings Ltd
552	Qian Hu Corporation Limited
554	King Wan Corporation Limited
557	Viking Offshore And Marine Ltd
558	Ums Holdings Limited
560	Aztech Group Ltd.
561	Teckwah Industrial Corp Ltd
564	Spindex Industries Limited
566	See Hup Seng Limited
567	Colex Holdings Limited
568	Baker Technology Limited
569	Vicplas International Ltd
570	Transit-mixed Concrete Ltd
571	International Press Softcom
573	Challenger Technologies Ltd
574	Tsh Corporation Limited
575	Asti Holdings Limited
576	Magnus Energy Group Ltd.
578	Ks Energy Limited
579	Oceanus Group Limited
580	Santak Holdings Limited
581	Ite Electric Co Ltd
583	Progen Holdings Ltd
584	Oakwell Engineering Limited
585	Asian Micro Holdings Ltd
586	Tmc Education Corporation Ltd
587	Lereno Bio-chem Ltd.
588	Health Management Intl Ltd
591	Innovalues Limited
593	Lee Metal Group Ltd
594	Loyz Energy Limited
595	Van Der Horst Energy Limited
596	Thai Village Holdings Ltd
5AB	Trek 2000 Int'l Ltd
5AC	Nh Ceramics Ltd
5AE	Pollux Properties Ltd.
5AI	Sunlight Group Hldg Ltd
5AL	Annica Holdings Limited
5AM	Asiatravel.com Holdings Ltd
5AU	Ap Oil International Limited
5BA	Vashion Group Ltd.
5BI	Carriernet Global Ltd
5BK	Koda Ltd
5BM	Mfs Technology Ltd
5BS	Pne Micron Holdings Ltd
5CB	Darco Water Technologies Ltd
5CF	Okp Holdings Limited
5CH	Dmx Technologies Group Ltd
5CJ	Chinese Global Investors Grp
5CN	Sinwa Limited
5CP	Silverlake Axis Ltd
5CQ	Technics Oil & Gas Limited
5CR	Asiatic Group (holdings) Ltd
5CT	Ecowise Holdings Limited
5DA	Breadtalk Group Limited
5DD	Micro-mechanics (holdings) Ltd
5DE	Ems Energy Limited
5DL	Koon Holdings Limited
5DM	Ying Li Intl Real Estate Ltd
5DN	Ezra Holdings Limited
5DO	Sakae Holdings Ltd.
5DP	Heeton Holdings Limited
5DS	Megachem Limited
5DW	Renewable Energy Asia Grp Ltd
5DX	Metal Component Engg Ltd
5EB	Cfm Holdings Limited
5EC	Asiasons Wfg Financial Ltd.
5EF	Adventus Holdings Limited
5EG	New Lakeside Holdings Limited
5EK	Armarda Group Limited
5EL	Lasseters Intl Holdings Ltd
5EN	Midas Hldgs Limited
5ER	Best World International Ltd
5ET	Asiasons Capital Limited
5EV	Hosen Group Ltd
5EW	Pan Asian Holdings Limited
5F3W	Yhm Group Limited W161103
5F4	Figtree Holdings Limited
5F7	Hartawan Hldgs Ltd
5F8W	Ccm Group Limited W161230
5FA	Jep Holdings Ltd.
5FH	Advance Sct Limited
5FI	Oriental Food (holdings) Ltd.
5FL	Falcon Energy Group Limited
5FQ	Select Group Limited
5FR	Etika International Hldgs Ltd
5FW	Linair Technologies Limited
5FX	New Wave Holdings Ltd.
5G1	Eurosports Global Limited
5G2	Kimheng Offshore&marine Hldltd
5G3	Talkmed Group Limited
5G4	Infinio Group Limited
5G9	Tritech Group Limited
5GB	Asia Water Technology Ltd.
5GC	Cna Group Ltd.
5GD	Sunpower Group Ltd.
5GF	Nico Steel Holdings Limited
5GI	Interra Resources Limited
5GJ	Ausgroup Limited
5GZ	Aa Group Holdings Ltd.
5H0	Singhaiyi Group Ltd.
5H1W	We Holdings Ltd W160318
5H7W	Tritech Group Limited W190329
5HC	Ntegrator International Ltd
5HG	Oniontech Limited
5HH	Hln Technologies Limited
5HJ	Cityneon Holdings Limited
5HT	Communication Design Intl Ltd
5HV	Metax Engineering Corp Limited
5I0	Qt Vascular Ltd.
5I1	Kop Limited
5I2W	Asia-pacific Strategic W190506
5I3	Jason Holdings Limited
5I4	Icp Ltd
5IA	Advanced Holdings Ltd.
5IB	Albedo Limited
5IC	Sing Holdings Limited
5IE	Lorenzo International Limited
5IF	Natural Cool Holdings Limited
5IG	Gallant Venture Ltd.
5IM	Gmg Global Ltd
5JK	Hiap Hoe Limited
5JS	Indofood Agri Resources Ltd.
5KH	Travelite Holdings Ltd.
5KI	Soup Restaurant Group Limited
5KK	China Yongsheng Limited
5KT	Fujian Zhenyun Plas Ind Co Ltd
5KU	Eastern Holdings Ltd
5LE	Sitra Holdings (intl) Limited
5LY	Marco Polo Marine Ltd.
5MC	Beng Kuang Marine Limited
5MD	Soon Lian Holdings Limited
5ME	Ezion Holdings Limited
5ML	Old Chang Kee Ltd.
5MM	Sky One Holdings Limited
5MQ	Epicentre Holdings Limited
5MS	Memstar Technology Ltd.
5MZ	Kingsmen Creatives Ltd
5NF	Mencast Holdings Ltd.
5NG	Healthway Medical Corp Ltd
5NH	St. James Holdings Limited
5NK	Artivision Technologies Ltd.
5NV	Chasen Holdings Limited
5OC	Koyo International Limited
5OF	Westminster Travel Limited
5OI	Japan Foods Holding Ltd.
5OQ	Teho International Inc Ltd.
5OR	Heatec Jietong Holdings Ltd.
5OS	Jlj Holdings Limited
5OT	Singapore Medical Group Ltd
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5OY	Latitude Tree Intl Group Ltd.
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PI	Plato Capital Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QQW	Chasen Holdings W150506
5QR	Mann Seng Metal Intl Limited
5QSW	Lereno Bio-chem Ltd W150430
5QT	China Enersave Ltd
5QY	Net Pacific Fin Hldgs Ltd
5QZ	Ccm Group Limited
5RA	Asia-pacific Strategic Inv Ltd
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5RHW	Net Pacific Fin Hldgs W150721
5RJ	We Holdings Ltd.
5RWW	Top Global Limited W150929
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SUW	Duty Free Intl Ltd W160106
5SXW	Goodland Group Limited W160217
5SY	Chew's Group Limited
5TF	Junma Tyre Cord Company Ltd
5TG	800 Super Holdings Limited
5TI	Kitchen Culture Holdings Ltd.
5TJ	Far East Group Limited
5TN	Iev Holdings Limited
5TP	Cnmc Goldmine Holdings Limited
5TR	Libra Group Limited
5TS	Jk Tech Holdings Limited
5TT	Keong Hong Holdings Limited
5TW	Chaswood Resources Hldgs Ltd.
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UE	Shc Capital Asia Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UJ	Neo Group Limited
5UKW	Renewable Energy Asia W150709
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UQW	Metal Component Engg W170908
5UV	P99 Holdings Limited
5UX	Oxley Holdings Limited
5UZ	Declout Limited
5VC	Kori Holdings Limited
5VFW	Asiatravel.com Holdingsw160715
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VNW	Albedo Limited W180329
5VOW	Viking Offshore And Ma W180425
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5VT	Eunetworks Group Limited
5VU	Elektromotive Group Limited
5VVW	Ntegrator Intl Ltd W160603
5VWW	Elektromotive Group W150710
5VZW	Asia-pacific Strategic W180716
5WA	Intl Healthway Corp Limited
5WD	Ps Group Holdings Ltd.
5WE	Moya Holdings Asia Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WKW	We Holdings Ltd W150827
5WR	Xyec Holdings Co., Ltd.
5WSW	Asiatic Grp(hldgs) Ltd W150925
5WV	Asiaphos Limited
600	Hyflux Ltd
6SUS	Ny05100n 200901
7PMS	Ny07100x 220901
7QQS	Nz07100s 270301
A01	China Auto Corporation Ltd.
A02	Achieva Limited
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A0G	China Energy Limited
A0P	Macarthurcook Prop Sec Fund
A0W	Lyxor Commodities Crb Fund 10
A10	Aem Holdings Ltd
A13	Allied Technologies Limited
A17U	Ascendas Real Estate Inv Trust
A18	Aei Corporation Ltd
A23	Auric Pacific Group Limited
A26	Sinarmas Land Limited
A27	Mdr Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A53	A-sonic Aerospace Limited
A54	Adv Integrated Mfg Corp Ltd
A55	Asia Enterprises Holding Ltd
A59	Action Asia Limited
A68U	Ascott Residence Trust
A69	Azeus Systems Holdings Ltd.
A6F	Unionmet (singapore) Limited
A75	Ace Achieve Infocom Limited
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
A7S	Sunvic Chemical Holdings Ltd
A9A	Lyxor Msci Taiwan Index Fund10
A9B	Lyxor Hang Seng Index Fund 10
AAAW	Singapore Post Mb Ecw150402
AABW	Singapore Post Mb Ecw150106
AACW	Noble Group Mb Ecw150402
AADW	Hsi 25000 Ub Ecw141127
AAEW	Hsi 22800 Ub Epw141030
AAHW	Uob Mb Epw141103
AAJ	Sunmoon Food Company Limited
AAOW	Comfortdelgro Mb Ecw150402
AAPW	Global Yellow Pages W190625
ABYW	Dbs Mb Epw141103
ABZW	Dbs Mb Ecw141201
ACAW	Dbs Mb Ecw141103
ACBW	Ezra Mb Ecw150302
ACCW	Kepcorp Mb Ecw141103
ACEW	Nol Mb Ecw150202
ACGW	Noble Group Mb Epw150302
ACHW	Singapore Exchangembepw150102
ACKW	Sembcorp Marine Mb Ecw150202
ACLW	Ocbc Bk Mb Ecw150202
ACNW	Wilmar Mb Epw150303
ACOW	Wilmar Mb Ecw150302
ACPW	Uob Mb Epw141104
ACQW	Uob Mb Ecw141201
ACRW	Uob Mb Ecw141103
ACV	Frasers Hospitality Trust
ACW	Chiwayland International Ltd
ACXW	Chiwayland Intl W170108
ACYW	Nikkei225 16500 Mb Epw141212
ACZW	Nikkei225 15000 Mb Epw141212
AD7	China Bearing (singapore) Ltd.
AD8	Sino Techfibre Limited
ADAW	Nikkei225 13500 Mb Epw141212
ADBW	Nikkei225 17000 Mb Ecw141212
ADCW	Nikkei225 15500 Mb Ecw141212
ADFW	Uob Mb Ecw141203
ADGW	Singapore Post Mb Ecw150603
ADJ	Ols Enterprise Ltd.
ADKW	Hsi 23800 Ub Epw141230
ADLW	Hsi 24600 Ub Ecw141230
ADMW	Hsi 23000 Ub Ecw141230
ADN	First Sponsor Group Limited
ADOW	Smrt Mb Ecw150102
ADP	Swissco Holdings Limited
ADQU	Accordia Golf Trust
AFC	W Corporation Limited
AFFW	Dbs Mb Epw141202
AFGW	Uob Mb Epw141202
AFRW	Hsi 23600 Mb Epw141230
AFTW	Dbs Mb Epw150401
AI1	Texchem-pack Holdings (s) Ltd.
AJ2	Ouhua Energy Holdings Limited
AK3	Swiber Holdings Limited
AO9	Lyxor Korea 10
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AW9U	First Real Estate Inv Trust
B03	Brc Asia Limited
B07	Next-gen Satellite Comm Ltd
B08	British & Malayan Trustees Ltd
B0I	Foreland Fabrictech Hlds Ltd
B0Z	China Fishery Group Limited
B10	Boardroom Limited
B16	Guocoleisure Limited
B1N	Delong Holdings Limited
B1ZU	Rickmers Maritime
B20	Biosensors Int'l Group Ltd.
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B2F	M1 Limited
B2X	China Yuanbang Prop Hldgs Ltd
B32	Bh Global Marine Limited
B3C	China Print Power Group Ltd
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B66	Pt Berlian Laju Tanker Tbk
