RIC,Yahoo Symbol,Company Name,Sector,Country,Region,Local Currency,TS Currency
MS.MI,MS.MI,Mediaset,Consumer Cyclicals,,Europe,EUR,EUR
PEUP.PA,UG.PA,Peugeot,Consumer Cyclicals,,Europe,EUR,EUR
PSMGn.DE,PSM.DE,ProSiebenSat.1,Consumer Cyclicals,,Europe,EUR,EUR
RMV.L,RMV.L,Rightmove Plc,Consumer Cyclicals,,Europe,GBP,GBP
SFER.MI,SFER.MI,Salvatore Ferragamo SpA,Consumer Cyclicals,,Europe,EUR,EUR
TPT.L,TPT.L,Topps Tiles,Consumer Cyclicals,,Europe,GBP,GBP
WPP.L,WPP.L,WPP Plc,Consumer Cyclicals,,Europe,GBP,GBP
ABI.BR,ABI.BR,Anheuser-Busch InBev,Consumer Staples,,Europe,EUR,EUR
CHRH.CO,CHR.CO,Chr Hansen,Consumer Staples,,Europe,DKK,DKK
SBRY.L,SBRY.L,J Sainsbury,Consumer Staples,,Europe,GBP,GBP
OREP.PA,OR.PA,L'Oreal,Consumer Staples,,Europe,EUR,EUR
OCDO.L,OCDO.L,Ocado Group PLC,Consumer Staples,,Europe,GBP,GBP
SAB.L,SAB.L,SABMiller,Consumer Staples,,Europe,GBP,GBP
SZUG.DE,SZU.DE,Suedzucker AG,Consumer Staples,,Europe,EUR,EUR
AFRE.L,AFR.L,Afren Plc,Energy,,Europe,GBP,GBP
AOIC.ST,AOI.TO,Africa Oil Corp,Energy,,Europe,SEK,CAD
BG.L,BG.L,BG Group,Energy,,Europe,GBP,GBP
ENI.MI,ENI.MI,ENI,Energy,,Europe,EUR,EUR
TGS.OL,TGS.OL,TGS Nopec,Energy,,Europe,NOK,NOK
AZMT.MI,AZM.MI,Azimut Holding,Financial Services,,Europe,EUR,EUR
BBVA.MC,BBVA.MC,BBVA,Financial Services,,Europe,EUR,EUR
BYG.L,BYG.L,Big Yellow,Financial Services,,Europe,GBP,GBP
CSGN.VX,CS,Credit Suisse,Financial Services,,Europe,CHF,CHF
GPOR.L,GPOR.L,Great Portland Estates,Financial Services,,Europe,GBP,GBP
ING.AS,ING,ING Groep N.V.,Financial Services,,Europe,EUR,EUR
ISP.MI,ISP.MI,Intesa Sanpaolo,Financial Services,,Europe,EUR,EUR
SBST.OL,SCH.OL,Schibsted ASA,Financial Services,,Europe,NOK,NOK
SJP.L,STJ.L,St. James's Place plc,Financial Services,,Europe,GBP,GBP
TRYG.CO,TRYG.CO,Tryg A/S,Financial Services,,Europe,DKK,DKK
UNPI.MI,UNI.MI,Unipol (Ordinary Shares),Financial Services,,Europe,EUR,EUR
ZURN.VX,ZURVY,Zurich Insurance Group,Financial Services,,Europe,CHF,USD
GRLSbn.MC,GRF.MC,Grifols (Pref),Healthcare,,Europe,EUR,EUR
IPH.PA,IPH.PA,Innate Pharma SA,Healthcare,,Europe,EUR,EUR
ROG.VX,ROG.VX,Roche,Healthcare,,Europe,CHF,CHF
SHP.L,SHP.L,Shire,Healthcare,,Europe,GBP,GBP
AALB.AS,AALB.AS,Aalberts,Industrials,,Europe,EUR,EUR
ATCOa.ST,ATCO-A.ST,Atlas Copco,Industrials,,Europe,SEK,SEK
CRST.L,CRST.L,Crest Nicholson Holdings plc,Industrials,,Europe,GBP,GBP
GEBN.VX,GEBN.VX,Geberit Holdings,Industrials,,Europe,CHF,CHF
MTXGn.DE,MTX.DE,MTU Aero Engines,Industrials,,Europe,EUR,EUR
SAF.PA,SAF.PA,Safran,Industrials,,Europe,EUR,EUR
SIEGn.DE,SIE.DE,Siemens AG,Industrials,,Europe,EUR,EUR
SXS.L,SXS.L,Spectris,Industrials,,Europe,GBP,GBP
TW.L,TW.L,Taylor Wimpey,Industrials,,Europe,GBP,GBP
WBSV.VI,WIE.VI,Wienerberger,Industrials,,Europe,EUR,EUR
ZOT.MC,ZOT.MC,Zardoya Otis,Industrials,,Europe,EUR,EUR
ARM.L,ARM.L,ARM Holdings plc,Technology,,Europe,GBP,GBP
SAP,SAP,SAP (ADR),Technology,,Europe,USD,USD
SAPG.DE,SAP.DE,SAP (Ordinary Share),Technology,,Europe,EUR,EUR
WDIG.DE,WDI.DE,Wirecard,Technology,,Europe,EUR,EUR
ATCE.AS,ATC.AS,Altice SA,Telecom Services,,Europe,EUR,EUR
BT.L,BT-A.L,BT Group,Telecom Services,,Europe,GBP,GBP
ILD.PA,ILD.PA,Iliad,Telecom Services,,Europe,EUR,EUR
TLIT.MI,TIT.MI,Telecom Italia,Telecom Services,,Europe,EUR,EUR
EZJ.L,EZJ.L,Easyjet,Transportation,,Europe,GBP,GBP
GOG.L,GOG.L,Go-ahead,Transportation,,Europe,GBP,GBP
DRX.L,DRX.L,Drax Group Plc,Utilities,,Europe,GBP,GBP
EONGn.DE,EOAN.DE,E.ON,Utilities,,Europe,EUR,EUR
HRA.MI,HER.MI,Hera SpA,Utilities,,Europe,EUR,EUR
5401.T,NSSMY,Nippon Steel & Sumitomo Metal,Basic Materials,Japan,Japan,JPY,JPY
4205.T,,Zeon,Basic Materials,Japan,Japan,JPY,
4324.T,DEN.F,Dentsu,Consumer Cyclicals,Japan,Japan,JPY,USD
9843.T,NCLTF,Nitori,Consumer Cyclicals,Japan,Japan,JPY,USD
7203.T,TM,Toyota Motor,Consumer Cyclicals,Japan,Japan,JPY,USD
2802.T,AJINF,Ajinomoto,Consumer Staples,Japan,Japan,JPY,USD
3673.T,9BL.F,Broad leaf,Consumer Staples,Japan,Japan,JPY,EUR
7599.T,7599,Gulliver International,Consumer Staples,Japan,Japan,JPY,JPY
2181.T,,Temp Holdings Co Ltd,Consumer Staples,Japan,Japan,JPY,
3141.T,3141,Welcia Holdings Co Ltd,Consumer Staples,Japan,Japan,JPY,JPY
8905.T,,Aeon Mall Co Ltd,Financial Services,Japan,Japan,JPY,
8316.T,SMFG,Sumitomo Mitsui Financial Group,Financial Services,Japan,Japan,JPY,USD
7733.T,OCPNY,Olympus,Healthcare,Japan,Japan,JPY,USD
6954.T,FANUY,Fanuc,Industrials,Japan,Japan,JPY,USD
8002.T,MARUY,Marubeni Corporation,Industrials,Japan,Japan,JPY,USD
6471.T,NSK.F,NSK,Industrials,Japan,Japan,JPY,EUR
5803.T,FJK.F,Fujikura,Technology,Japan,Japan,JPY,EUR
6756.T,KKE.F,Hitachi Kokusai Electric,Technology,Japan,Japan,JPY,EUR
4902.T,KNCAY,Konica Minolta,Technology,Japan,Japan,JPY,USD
6594.T,NJ,Nidec,Technology,Japan,Japan,JPY,USD
4768.T,OTSKF,Otsuka,Technology,Japan,Japan,JPY,EUR
4689.T,YOJ.F,Yahoo Japan,Technology,Japan,Japan,JPY,EUR
9513.T,,Electric Power Development (J-POWER),Utilities,Japan,Japan,JPY,
601288.SS,601288.SS,Agricultural Bank of China (A),Financial Services,China,Asia Pacific,CNY,CNY
1288.HK,1288.HK,Agricultural Bank of China (H),Financial Services,China,Asia Pacific,HKD,HKD
000898.SZ,000898.SZ,Angang Steel (A),Basic Materials,China,Asia Pacific,CNY,CNY
0914.HK,0914.HK,Anhui Conch Cement (H),Industrials,China,Asia Pacific,HKD,HKD
300058.SZ,300058.SZ,BlueFocus Communication,Consumer Cyclicals,China,Asia Pacific,CNY,CNY
6199.HK,6199.HK,China CNR Corporation Limited (H),Industrials,China,Asia Pacific,HKD,HKD
1359.HK,1359.HK,China Cinda Asset Management Co Ltd,Financial Services,China,Asia Pacific,HKD,HKD
0670.HK,0670.HK,China Eastern Airlines (H),Transportation,China,Asia Pacific,HKD,HKD
601888.SS,601888.SS,China International Travel Service,Consumer Cyclicals,China,Asia Pacific,CNY,CNY
0144.HK,0144.HK,China Merchants Holdings,Industrials,China,Asia Pacific,HKD,HKD
000002.SZ,000002.SZ,China Vanke (A),Financial Services,China,Asia Pacific,CNY,CNY
2007.HK,2007.HK,Country Garden Holdings Company,Financial Services,China,Asia Pacific,HKD,HKD
601006.SS,601006.SS,Daqin Railway,Transportation,China,Asia Pacific,CNY,CNY
0895.HK,0895.HK,Dongjiang Environmental Company Limited,Industrials,China,Asia Pacific,HKD,HKD
002241.SZ,002241.SZ,GoerTek Inc.,Technology,China,Asia Pacific,CNY,CNY
002415.SZ,002415.SZ,Hangzhou Hikvision,Technology,China,Asia Pacific,CNY,CNY
HMIN,HMIN,Home Inns & Hotels Management Inc.,Financial Services,China,Asia Pacific,USD,USD
1071.HK,1071.HK,Huadian Power International (H),Utilities,China,Asia Pacific,HKD,HKD
1833.HK,1833.HK,Intime Retail (Group) Company Limited,Consumer Cyclicals,China,Asia Pacific,HKD,HKD
600872.SS,600872.SS,"Jonjee Hi-Tech Industrial Co, Ltd",Consumer Staples,China,Asia Pacific,CNY,CNY
600519.SS,600519.SS,Kweichow Moutai,Consumer Staples,China,Asia Pacific,CNY,CNY
600612.SS,600612.SS,Lao Feng Xiang Co.,Consumer Cyclicals,China,Asia Pacific,CNY,CNY
601318.SS,601318.SS,Ping An Insurance Group (A),Financial Services,China,Asia Pacific,CNY,CNY
2318.HK,2318.HK,Ping An Insurance Group (H),Financial Services,China,Asia Pacific,HKD,HKD
600196.SS,600196.SS,Shanghai Fosun Pharmaceutical,Healthcare,China,Asia Pacific,CNY,CNY
0750.HK,0750.HK,Singyes Solar,Energy,China,Asia Pacific,HKD,HKD
200581.SZ,200581.SZ,Weifu High-Technology Group (B),Consumer Cyclicals,China,Asia Pacific,HKD,HKD
WX,WX,WuXi PharmaTech Cayman,Healthcare,China,Asia Pacific,USD,USD
600549.SS,600549.SS,"Xiamen Tungsten Co., Ltd.",Basic Materials,China,Asia Pacific,CNY,CNY
YAZG.SI,BS6.SI,Yangzijiang Shipbuilding,Industrials,China,Asia Pacific,SGD,SGD
1299.HK,1299.HK,AIA Group,Financial Services,Hong Kong,Asia Pacific,HKD,HKD
2388.HK,2388.HK,BOC Hong Kong (Holdings),Financial Services,Hong Kong,Asia Pacific,HKD,HKD
3386.HK,3386.HK,Dongpeng Holdings Co Ltd,Industrials,Hong Kong,Asia Pacific,HKD,HKD
0013.HK,0013.HK,Hutchison Whampoa,Industrials,Hong Kong,Asia Pacific,HKD,HKD
0316.HK,0316.HK,Orient Overseas Int'l,Transportation,Hong Kong,Asia Pacific,HKD,HKD
1972.HK,1972.HK,Swire Properties,Financial Services,Hong Kong,Asia Pacific,HKD,HKD
GRAS.BO,GRASIM.BO,Grasim Industries,Industrials,India,Asia Pacific,INR,INR
HPCL.BO,HINDPETRO.NS,Hindustan Petroleum,Energy,India,Asia Pacific,INR,INR
